Path ID,ADV,,,,Origin,Destination,ADV
24-181,111.06,,,,24,181,111.06
24-37,114.57,,,,24,37,114.57
192-3112,6.93,,,,192,3112,6.93
110-163,2.42,,,,110,163,2.42
37-181,3.62,,,,37,181,3.62
20-100,26.89,,,,20,100,26.89
122-181,146.1,,,,122,181,146.1
81-104,235.67,,,,81,104,235.67
81-145,149.72,,,,81,145,149.72
47-176,0.58,,,,47,176,0.58
145-111,4.39,,,,145,111,4.39
171-111,34.43,,,,171,111,34.43
177-104,23.53,,,,177,104,23.53
37-16,7.94,,,,37,16,7.94
181-40,214.19,,,,181,40,214.19
111-103,44.66,,,,111,103,44.66
76-64,42.25,,,,76,64,42.25
139-47,1.11,,,,139,47,1.11
74-69,72.46,,,,74,69,72.46
100-66,75.5,,,,100,66,75.5
150-60,14.19,,,,150,60,14.19
125-16,31.73,,,,125,16,31.73
25-185,1.11,,,,25,185,1.11
193-136,2.17,,,,193,136,2.17
26-127,19.37,,,,26,127,19.37
21-127,15.02,,,,21,127,15.02
139-69,4.81,,,,139,69,4.81
149-108,5.23,,,,149,108,5.23
17472,6.19,,,,17472,,6.19
135-3114,7.22,,,,135,3114,7.22
114-81,75.17,,,,114,81,75.17
181-88,502.03,,,,181,88,502.03
111-129,2.98,,,,111,129,2.98
129-139,4.01,,,,129,139,4.01
185-76,164.91,,,,185,76,164.91
44-149,1.24,,,,44,149,1.24
21-76,14.31,,,,21,76,14.31
136-193,2.52,,,,136,193,2.52
