Path ID,ADV [Corrected]
Nov-71,8.68
179-3117,36.64
24-16,294.04
41-47,8.57
17-176,40.12
127-43,69.87
40-3118,18.28
108-130,34.89
103-76,82.66
190-31,28.42
129-117,21.75
85-34,126.84
37-136,0.67
110-104,24.25
64-3101,82.74
181-104,381.67
122-150,67.57
127-11,84.66
103-127,33.82
21-103,46.75
108-68,48.35
86-3024,38.22
43-149,1.31
35-41,7.32
54-66,20.05
149-3112,2.89
75-117,37.8
34-3112,2.07
136-18,4.59
106-150,27.38
111-68,24.62
31-3024,116.48
66-16,39.66
166-88,12.01
60-35,74.31
11-146,33.01
41-29,18.48
54-104,3.61
60-3065,16.72
146-21,26.24
37-192,1.69
44-181,4.21
70-146,130.6
18-74,14.41
43-104,2.83
135-100,28.02
81-100,381.94
88-3117,1118.38
146-111,16.93
44-177,3.42
21-106,13.98
185-28,1249.25
21-139,7.79
130-108,47.19
117-26,48.94
129-17,58.75
114-179,8.57
146-44,7.62
75-60,4.32
29-149,20.54
64-142,79.31
100-81,79.06
158-21,0.83
114-171,9.37
35-107,1
74-86,244.91
11-192,41.8
54-185,36.23
156-106,24.96
24-191,83.73
117-149,20.08
16-81,68.18
166-193,6.12
125-194,60.56
181-16,323.71
136-139,11.36
21-3071,15.58
193-166,24.01
54-110,3.98
185-166,110.88
156-20,40.4
47-40,1.38
68-191,47.28
34-20,16.16
44-156,3.95
192-114,28.78
116-185,80.83
194-139,32.61
192-130,7.5
47-88,0.7
44-104,4.07
54-70,36.56
194-24,58.76
111-156,3.73
146-16,37.06
28-179,17.36
191-11,49.08
88-3071,564.54
117-88,113.71
41-3117,12.87
110-156,9.17
86-149,40.05
103-166,11.67
70-26,97.43
193-111,3.37
21-165,5.32
149-127,7.19
35-18,12.49
28-177,9.68
31-3114,10.54
64-68,332.55
177-142,27.58
156-27,0.71
108-34,8.8
146-106,23.62
103-106,60.95
191-64,61.17
20-17,95.71
17-185,16.66
75-43,11.28
24-Nov,154.03
43-3081,1.28
17-171,8.27
176-150,1254.92
131-76,14.06
104-145,22.98
64-181,174.03
47-115,1.28
43-3065,0.59
158-131,1.17
70-149,85.63
74-3024,19.04
111-3112,24.62
88-125,323.96
116-194,33.25
135-76,26.29
106-142,39.72
104-64,47.38
145-68,18.8
176-16,463.18
110-3101,34.24
191-176,199.05
192-179,7.87
125-145,14.99
194-31,87.78
131-21,15.72
66-114,15.63
185-146,282.86
64-177,25.12
130-145,82.93
139-3117,1.99
146-107,8.25
176-31,846.4
17-146,9.72
127-54,54.12
193-75,23.63
125-18,9.5
88-177,159.17
64-125,41.39
74-3081,39.8
34-107,4.87
156-64,66.49
190-26,7.17
28-130,37.53
122-116,26.2
88-181,762.23
86-166,94.73
